gdp_usd,gdp_per_capita,Population,Life.Expectancy.at.Birth..Both.Sexes,Total.Fertility.Rate,box_gdp_ratio,log_gdp,log_pop,box_class
386760000000,46155.00831842707,8379589,80.3,1.37,4.8646998138380394e-5,11.587441551559959,6.923222717984766,Low
399290000000,47373.993648190226,8428464,80.4,1.3900000000000001,4.8470004257557165e-5,11.601288433662402,6.925748436178197,Low
406750000000,47782.616408086455,8512510,81,1.44,7.290025814382299e-5,11.609327561608897,6.930057635104955,Low
379546000000,43517.53331926876,8721680,81.3,1.48,3.524802817049844e-4,11.579264418796729,6.940600148287457,High
414926000000,46751.98303197527,8875046,81.7,1.49,2.1044716407262983e-4,11.617970649345109,6.948170612712415,High
434398000000,48289.96165577081,8995617,81.4,1.43,2.0486270655021432e-5,11.637887817061998,6.9540309565093175,Low
480467000000,53172.80866777417,9035953,81.5,1.43,6.428918115083867e-5,11.681663564304115,6.955973963295942,Low
471774000000,51959.60628351596,9079630,81.6,1.41,1.720656924713952e-5,11.673734002747814,6.958068151138669,Low
511685000000,56129.143155888596,9116209,81.8,1.33,2.289285791062861e-5,11.709002685854838,6.959814273343159,Low
236792000000,23071.006734662184,10263618,77.7,1.6500000000000001,5.002168569884118e-5,11.374367025692163,7.011300479728977,Low
258384000000,25021.791320638764,10326359,78.1,1.6500000000000001,6.919906340949903e-4,11.412265617191276,7.013947219394993,High
318083000000,30676.786721767603,10368850,78.3,1.6800000000000002,4.645567351917581e-5,11.502540458785194,7.015730591842337,Low
369215000000,35455.9393824099,10413347,79,1.73,2.1908925422856602e-4,11.567279336679164,7.017590340461979,High
385715000000,36843.00665832406,10469151,79,1.77,4.5912539050853606e-5,11.586266528393026,7.019911463821601,Low
408260000000,38750.83835492032,10535514,79.4,1.81,4.9563274383971e-4,11.610936831232662,7.022655728545758,High
517328000000,48380.966631752206,10692800,79.6,1.86,3.7771169548139673e-4,11.713765984916728,7.029091443779618,High
485015000000,45002.06307201304,10777617,79.9,1.84,4.174315124274507e-4,11.68575517018266,7.03252274617947,High
481557000000,44318.918183156,10865721,80.1,1.85,2.7194924796026225e-4,11.682647700225553,7.036058549426207,High
527197000000,48090.74022670097,10962547,80.4,1.82,2.5309866330802336e-4,11.721972930252203,7.039911468339606,High
498414000000,45072.08391853504,11058153,80.3,1.79,3.1403531200969477e-4,11.697590232762977,7.043682594518982,High
524097000000,47070.68411851534,11134255,80.5,1.75,1.2249107512540618e-4,11.719411673751106,7.046661163425448,High
537987000000,48033.1082895095,11200337,81.1,1.73,2.974130936249389e-4,11.730771781435019,7.049231090084338,High
461045000000,40907.71481463604,11270368,81,1.6900000000000002,4.5190530859243676e-4,11.663743316491386,7.051938096858891,High
474272000000,41825.280822677676,11339362,81.4,1.6700000000000002,8.449886562984954e-5,11.676027485595487,7.0545886200177215,Low
500909000000,43911.34818390959,11407279,81.5,1.6400000000000001,6.499024633216812e-4,11.699758834874228,7.057182063680927,High
542639000000,47287.03800851698,11475428,81.6,1.61,7.222822170909204e-5,11.734511003719943,7.0597688924290685,Low
536726000000,46480.125880823696,11547430,82,1.59,1.9068252329866635e-4,11.72975263382445,7.062485338252996,High
529694000000,45653.33052015307,11602527,80.9,1.55,9.2879047147976e-5,11.724025053581908,7.064552587729927,Low
