Country_Code,Year,n_films,worldwide_usd_sum,domestic_usd_sum,domestic_share,Country_Name.x,Indicator.Name,Indicator.Code,gdp_usd,Country_Name.y,Population,Male.Population,Female.Population,Annual.Growth.Rate,Rate.of.Natural.Increase,Population.Density,Natural.Increase,Total.Fertility.Rate,Crude.Birth.Rate,Life.Expectancy.at.Birth..Both.Sexes,Infant.Mortality.Rate..Both.Sexes,Crude.Death.Rate,Net.Migration.Rate,gdp_per_capita,box_per_capita,box_gdp_ratio,log_gdp,log_pop,log_box_sum,log_gdp_pc,box_class
TUR,2015,1,25836668,0,0,Turkiye,GDP (current US$),NY.GDP.MKTP.CD,864314000000,Turkey,79368631,39966972,39401659,1.27,1.05,103.1,832220,2.05,16.3,74.4,23.2,5.8,2.2,10889.869071825115,0.32552744925132954,2.9892687148420596e-5,11.93667154767959,7.8996488893862296,7.412236504581576,4.03702265829336,Low
TUR,2017,1,28952258,0,0,Turkiye,GDP (current US$),NY.GDP.MKTP.CD,858988000000,Turkey,80808069,40670577,40137492,0.53,0.98,105,794617,2.01,15.7,74.9,22,5.9,-4.5,10629.978053305544,0.3582842451042853,3.370507853427522e-5,11.933987096811236,7.907454728933108,7.461682440211952,4.026532367878128,Low
TUR,2020,1,5084342,0,0,Turkiye,GDP (current US$),NY.GDP.MKTP.CD,720338000000,Turkey,82009212,41236273,40772939,0.45,0.88,106.6,724256,1.96,14.8,75.7,20.4,6,-4.3,8783.622991036666,0.061997205874871716,7.058272644230903e-6,11.85753632572353,7.913862638921042,6.7062347558310815,3.9436736868024864,Low
TUR,2022,2,37540064,4608096,0.12275141566087901,Turkiye,GDP (current US$),NY.GDP.MKTP.CD,907118000000,Turkey,83047706,41733240,41314466,0.6699999999999999,0.8200000000000001,107.9,683669,1.93,14.3,76.2,19.4,6.1,-1.5,10922.854389259108,0.4520301138721399,4.1383881700065484e-5,11.95766378476194,7.919327640576682,7.574495008690846,4.038336144185257,Low
TUR,2023,4,182104789,29348864,0.16116470171468142,Turkiye,GDP (current US$),NY.GDP.MKTP.CD,1118250000000,Turkey,83593483,41995352,41598131,0.64,0.7899999999999999,108.6,664056,1.91,14,76.5,18.9,6.1,-1.5,13377.238988833615,2.178456770368092,1.628480116253074e-4,12.048538906844694,7.922172420890433,8.26032136704108,4.126366485954262,Low
TUR,2024,2,16153066,0,0,Turkiye,GDP (current US$),NY.GDP.MKTP.CD,1323250000000,Turkey,84119531,42247430,41872101,0.61,0.77,109.3,644205,1.9,13.8,76.7,18.4,6.1,-1.5,15730.591745691021,0.19202515525199493,1.2207115813338371e-5,12.121641902663306,7.92489684265575,7.208254967565178,4.196745060007555,Low
OTHER,2005,1,26146165,0,0,Ukraine,GDP (current US$),NY.GDP.MKTP.CD,89238865119,Ukraine,47002642,21713283,25289359,-0.75,-0.76,81.1,-355875,1.21,9.1,67.6,9.7,16.6,0.1,1898.5925327133739,0.5562701134970243,2.929907833894357e-4,10.950554038576279,7.672122270143653,7.4174079975444975,3.278431768432626,Low
OTHER,2023,1,17974964,0,0,Ukraine,GDP (current US$),NY.GDP.MKTP.CD,181222000000,Ukraine,34831102,17374948,17456154,2.3299999999999996,-1.4,60.1,-488636,1.22,5.8,69.8,9,19.8,37.3,5202.878737514535,0.5160607321582877,9.918753793689507e-5,11.258210919050677,7.541967215053931,7.254668029257034,3.7162437039967466,Low
OTHER,2024,102,16393844215,7539826593,0.459918155505054,United States,GDP (current US$),NY.GDP.MKTP.CD,29184900000000,United States,336482168,166813721,169668447,0.47000000000000003,0.21000000000000002,36.8,718022,1.6300000000000001,10.8,79.9,5,8.7,2.5,86735.35413026702,48.721286814224285,5.617235013654321e-4,13.465158209569339,8.526962053569195,10.21468080382079,4.938196156000144,High
VNM,2002,1,27674124,12988801,0.46934822580111296,Viet Nam,GDP (current US$),NY.GDP.MKTP.CD,35064105501,Vietnam,81617017,40298768,41318249,1.36,1.41,263.2,1150877,2.2800000000000002,19.7,71.8,23.4,5.6,-0.5,429.6175820907544,0.3390729656292143,7.892436896532483e-4,10.544862764354583,7.911780717806602,7.442073882559347,2.6330820465479827,Low
VNM,2020,2,12540102,0,0,Viet Nam,GDP (current US$),NY.GDP.MKTP.CD,346616000000,Vietnam,101745119,50984500,50760619,1.04,1.06,328.1,1082359,2.08,16.4,75,15.4,5.8,-0.2,3406.708876128004,0.12325015807392195,3.617865880397904e-5,11.539848606131303,8.00751358406717,7.098301069019179,3.532335022064133,Low
VNM,2021,1,17480489,350000,0.020022323174140037,Viet Nam,GDP (current US$),NY.GDP.MKTP.CD,366475000000,Vietnam,102789598,51539277,51250321,1,1.03,331.5,1054870,2.06,16,75.3,15.1,5.8,-0.2,3565.292667065397,0.17006087522591537,4.7698994474384335e-5,11.564044353513655,8.011949167579749,7.242553577442045,3.5520951859339047,Low
VNM,2023,1,11538081,0,0,Viet Nam,GDP (current US$),NY.GDP.MKTP.CD,433858000000,Vietnam,104799174,52603044,52196130,0.93,0.9500000000000001,338,997502,2.04,15.3,75.8,14.4,5.8,-0.2,4139.89904157069,0.11009706049782415,2.6594141401103588e-5,11.637347609910039,8.020357859664351,7.062133583480639,3.6169897502456885,Low
VNM,2024,2,41068284,0,0,Viet Nam,GDP (current US$),NY.GDP.MKTP.CD,476388000000,Vietnam,105758975,53109175,52649800,0.89,0.91,341.1,966281,2.03,14.9,76.1,14.1,5.8,-0.2,4504.468769671794,0.38831961069970655,8.620763747197662e-5,11.677960813265358,8.024317233045489,7.613506556642293,3.6536435802198692,Low
ZAF,2004,1,33882243,23530892,0.6944903854210597,South Africa,GDP (current US$),NY.GDP.MKTP.CD,255807000000,South Africa,47658777,23491509,24167268,1.44,1.01,39.2,480768,2.4499999999999997,20.5,59,48.3,10.4,4.3,5367.468829508571,0.710933958712369,1.3245236838710435e-4,11.407912424504552,7.678142893466453,7.529972152847536,3.7297695310380985,Low
