Country_Code,Year,n_films,worldwide_usd_sum,domestic_usd_sum,domestic_share,Country_Name.x,Indicator.Name,Indicator.Code,gdp_usd,Country_Name.y,Population,Male.Population,Female.Population,Annual.Growth.Rate,Rate.of.Natural.Increase,Population.Density,Natural.Increase,Total.Fertility.Rate,Crude.Birth.Rate,Life.Expectancy.at.Birth..Both.Sexes,Infant.Mortality.Rate..Both.Sexes,Crude.Death.Rate,Net.Migration.Rate,gdp_per_capita,box_per_capita,box_gdp_ratio,log_gdp,log_pop,log_box_sum,log_gdp_pc,box_class
BRA,2024,1,11100000,0,0,Brazil,GDP (current US$),NY.GDP.MKTP.CD,2179410000000,Brazil,220051512,108166491,111885021,0.61,0.63,26.3,1376400,1.74,13.2,76.3,12.9,7,-0.2,9904.090093232351,0.05044273451754333,5.093121532891929e-6,12.33833893928148,8.342524356998036,7.045322978786658,3.9958145822834443,Low
CAN,2000,7,262257318,134463573,0.5127161904401082,Canada,GDP (current US$),NY.GDP.MKTP.CD,744773000000,Canada,31099560,15413053,15686507,0.88,0.35,3.4,109710,1.49,10.5,79.8,5.2,7,5.3,23948.02370194305,8.432830496637251,3.521305391038612e-4,11.872023923929842,7.492754244624143,8.418727615541197,4.3792696793056995,High
CAN,2001,12,780550397,479004793,0.6136756766008025,Canada,GDP (current US$),NY.GDP.MKTP.CD,738982000000,Canada,31376734,15552185,15824549,0.89,0.36,3.5,114182,1.52,10.6,80.1,5.3,7,5.3,23551.909513590548,24.87672544248869,0.0010562508924439296,11.86863386005128,7.496607735949574,8.892400948951808,4.372026124101707,High
CAN,2002,14,1726975184,1054178050,0.6104187597868806,Canada,GDP (current US$),NY.GDP.MKTP.CD,760649000000,Canada,31640960,15685550,15955410,0.7899999999999999,0.32999999999999996,3.5,105184,1.5,10.4,80.3,5.3,7.1,4.6,24040.010164040534,54.580366208863445,0.0022703969689041857,11.881184298651386,7.5002496517023065,9.237286096959876,4.380934646949079,High
CAN,2003,15,539454219,286540283,0.5311670071487568,Canada,GDP (current US$),NY.GDP.MKTP.CD,895541000000,Canada,31889307,15811194,16078113,0.7799999999999999,0.33999999999999997,3.5,108969,1.54,10.5,80.5,5.3,7.1,4.4,28082.799039816073,16.916461025634707,6.023780251267111e-4,11.952085473676005,7.50364508150868,8.731954594006293,4.448440392167324,High
CAN,2004,8,548429712,291952795,0.5323431400813674,Canada,GDP (current US$),NY.GDP.MKTP.CD,1026690000000,Canada,32134760,15935645,16199115,0.76,0.33999999999999997,3.5,110352,1.55,10.5,80.8,5.3,7.1,4.1,31949.515104516107,17.066556961993804,5.341726441282179e-4,12.011439331997755,7.506975060709314,8.73912097530803,4.504464271288441,High
CAN,2005,11,767144872,419592110,0.5469528967926152,Canada,GDP (current US$),NY.GDP.MKTP.CD,1173110000000,Canada,32390569,16065742,16324827,0.8300000000000001,0.35,3.6,112044,1.58,10.6,81,5.2,7.1,4.8,36217.641005318554,23.684204868398577,6.539411240207653e-4,12.0693387368838,7.510418577259627,8.88487738633359,4.558920159624173,High
CAN,2006,11,766061020,371310956,0.4847015398329496,Canada,GDP (current US$),NY.GDP.MKTP.CD,1319260000000,Canada,32679347,16212334,16467013,0.9500000000000001,0.39,3.6,126538,1.6400000000000001,10.9,81.5,5,7,5.6,40369.83970334536,23.44174808633722,5.806747873808044e-4,12.12033039481684,7.514273369857622,8.884263364402596,4.606057024959218,High
CAN,2007,8,577786862,261964440,0.453392863751201,Canada,GDP (current US$),NY.GDP.MKTP.CD,1468820000000,Canada,33016487,16374170,16642317,1.11,0.4,3.6,132647,1.6800000000000002,11.1,81.5,5,7.1,7,44487.470759684395,17.499949706944896,3.933680519056113e-4,12.166968577412792,7.518730861849879,8.761767662420306,4.648237715562914,High
CAN,2008,8,620178781,249784615,0.4027622721906701,Canada,GDP (current US$),NY.GDP.MKTP.CD,1552990000000,Canada,33403579,16552097,16851482,1.23,0.42000000000000004,3.7,139269,1.71,11.3,81.7,4.9,7.1,8.1,46491.72473404721,18.566237498083662,3.99344993206653e-4,12.191168659232227,7.523793001442657,8.79251690306181,4.667375657789571,High
CAN,2009,7,714175909,323219938,0.4525774867603382,Canada,GDP (current US$),NY.GDP.MKTP.CD,1374630000000,Canada,33813109,16741441,17071668,1.21,0.42000000000000004,3.7,140251,1.6900000000000002,11.3,81.9,4.8,7.1,8,40653.75946352641,21.121273083761686,5.195404647068666e-4,12.138185817742897,7.529085104497452,8.85380519622805,4.609100713245446,High
CAN,2010,3,486940321,172673726,0.354609627819258,Canada,GDP (current US$),NY.GDP.MKTP.CD,1617340000000,Canada,34211431,16925086,17286345,1.1300000000000001,0.39,3.8,133110,1.6500000000000001,11,82.2,4.7,7.1,7.4,47274.842142674475,14.233263759121915,3.0107480245341114e-4,12.208801327638051,7.534171240288712,8.687475737706254,4.674630087349338,High
CAN,2011,8,717650266,327438469,0.4562646800440258,Canada,GDP (current US$),NY.GDP.MKTP.CD,1793330000000,Canada,34591851,17099555,17492296,1.08,0.36,3.8,125806,1.6,10.7,82.5,4.5,7.1,7.2,51842.55679177157,20.74622332294389,4.0017747207708563e-4,12.253660213707162,7.538973801608983,8.855912850161296,4.71468641209818,High
CAN,2012,10,925075109,366452566,0.39613277066349,Canada,GDP (current US$),NY.GDP.MKTP.CD,1828370000000,Canada,34985093,17294422,17690671,1.1800000000000002,0.39,3.8,135273,1.6300000000000001,10.9,82.6,4.8,7.1,7.9,52261.40173473313,26.441979416776167,5.059561844703205e-4,12.262064086746944,7.5438830327238815,8.966176995549825,4.718181054023063,High
CAN,2013,7,1255026418,461753219,0.3679231069381362,Canada,GDP (current US$),NY.GDP.MKTP.CD,1846600000000,Canada,35397406,17512980,17884426,1.1700000000000002,0.36,3.9,127985,1.6,10.7,82.7,4.9,7.1,8,52167.664489313145,35.45532172611745,6.796417296653309e-4,12.266372831224603,7.548971437134165,9.098652867706194,4.717401394090438,High
CAN,2014,7,582859582,245036591,0.42040415662240926,Canada,GDP (current US$),NY.GDP.MKTP.CD,1805750000000,Canada,35759495,17703496,18055999,0.8700000000000001,0.35,3.9,125279,1.61,10.7,82.8,4.9,7.2,5.2,50497.07776913516,16.299435492587353,3.2277977682403433e-4,12.256657623532329,7.5533913770069345,8.765563940509072,4.703266246525395,High
CAN,2015,11,2338512033,774380128,0.3311422464679702,Canada,GDP (current US$),NY.GDP.MKTP.CD,1556510000000,Canada,36080407,17870510,18209897,0.91,0.32999999999999996,4,118059,1.59,10.6,82.9,4.5,7.3,5.9,43140.034423669335,64.81390392852276,0.0015024073298597503,12.192151915208619,7.55727142789588,9.368939608947134,4.63488048731274,High
CAN,2016,10,1539033953,498800765,0.3240999095748994,Canada,GDP (current US$),NY.GDP.MKTP.CD,1527990000000,Canada,36415408,18044228,18371180,0.93,0.31,4,113691,1.58,10.5,83,4.5,7.4,6.2,41959.98572911774,42.26326265519255,0.0010072277652340656,12.184120511988997,7.561285180174018,9.187248201012693,4.622835331814979,High
CAN,2017,14,2223187873,728378834,0.32762810684870985,Canada,GDP (current US$),NY.GDP.MKTP.CD,1649270000000,Canada,36742281,18213555,18528726,0.8500000000000001,0.27,4,97993,1.55,10.2,83,4.5,7.6,5.9,44887.523450163586,60.50761717814961,0.001347982970041291,12.21729175928999,7.565166114271451,9.346976164795068,4.652125645018541,High
CAN,2018,7,990992517,386674932,0.39018955780873976,Canada,GDP (current US$),NY.GDP.MKTP.CD,1725330000000,Canada,37074185,18382911,18691274,0.9400000000000001,0.25,4.1,94174,1.55,10.3,83.1,4.5,7.7,6.9,46537.233387598404,26.729987914771424,5.743785345412182e-4,12.236872173885917,7.569071612730948,8.996070375133229,4.667800561154968,High
CAN,2019,16,2624910397,1087897144,0.4144511543111542,Canada,GDP (current US$),NY.GDP.MKTP.CD,1743730000000,Canada,37426197,18556444,18869753,0.9500000000000001,0.23,4.1,87708,1.51,10,83.4,4.3,7.6,7.1,46591.16180038276,70.13564314322399,0.0015053422244269469,12.241479239433758,7.573175699253743,9.419114483074306,4.668303540180016,High
CAN,2020,11,248422885,118878182,0.4785315249841012,Canada,GDP (current US$),NY.GDP.MKTP.CD,1655680000000,Canada,37747300,18709445,19037855,0.76,0.14,4.2,53347,1.44,9.6,82.9,4.5,8.1,6.2,43862.21001237175,6.5812093845122694,1.5004281322477774e-4,12.21897640270043,7.576885892732439,8.395191601051307,4.642090509967992,High
CAN,2021,15,982808625,477603431,0.4859577122657018,Canada,GDP (current US$),NY.GDP.MKTP.CD,2022380000000,Canada,38055469,18872632,19182837,0.8600000000000001,0.2,4.2,76090,1.46,9.7,83.9,4.2,7.7,6.6,53142.95298791351,25.825686841489194,4.859663490540848e-4,12.305862761738473,7.5804170786058025,8.99246895913636,4.72544568313267,High
CAN,2022,10,562536042,258744071,0.459959987772659,Canada,GDP (current US$),NY.GDP.MKTP.CD,2190410000000,Canada,38355533,19047525,19308008,0.71,0.07,4.2,25222,1.4,9.2,82.9,4.5,8.5,6.4,57108.05791696338,14.666359661851134,2.568176925781018e-4,12.340525413503075,7.583828022210436,8.75015035316609,4.756697391292639,High
CAN,2023,6,772813893,362857344,0.46952745969850207,Canada,GDP (current US$),NY.GDP.MKTP.CD,2173340000000,Canada,38628008,19203938,19424070,0.71,0.08,4.2,31103,1.44,9.4,83,4.5,8.6,6.3,56263.32064547569,20.006568627613415,3.5558812380943617e-4,12.337127673201877,7.5869023126772035,8.888074920859562,4.750225360524673,High
CAN,2024,7,1155991581,531147688,0.4594736646269745,Canada,GDP (current US$),NY.GDP.MKTP.CD,2241250000000,Canada,38904514,19359281,19545233,0.72,0.11,4.3,43474,1.44,9.3,83.9,4.2,8.2,6.1,57608.99622084985,29.713559228628327,5.15779846514222e-4,12.35049030257024,7.589999994424841,9.062954671161883,4.760490308145398,High
CHE,2000,3,68605875,51205029,0.7463650744196471,Switzerland,GDP (current US$),NY.GDP.MKTP.CD,279216000000,Switzerland,7277251,3564630,3712621,0.51,0.22,181.9,15930,1.46,10.8,79.9,4.3,8.6,2.9,38368.334416388825,9.427443824598052,2.457089672511604e-4,11.445940301173955,6.861967354450796,7.8363613077013765,4.58397294672316,High
CHE,2001,5,155392952,84167019,0.5416398743747399,Switzerland,GDP (current US$),NY.GDP.MKTP.CD,286583000000,Switzerland,7310547,3579758,3730789,0.41000000000000003,0.15000000000000002,182.8,11067,1.35,9.9,80.3,4.4,8.4,2.6,39201.30737139095,21.255995208019318,5.422266917437531e-4,11.457250424633669,6.863949873564412,8.1914313170587,4.593300551069256,High
CHE,2002,3,155900727,73713980,0.4728264031764265,Switzerland,GDP (current US$),NY.GDP.MKTP.CD,309301000000,Switzerland,7343989,3595881,3748108,0.51,0.14,183.6,10604,1.37,9.9,80.4,4.3,8.4,3.6,42116.21232003479,21.228344296267327,5.040421046165385e-4,11.490381324121445,6.865932017697151,8.192848140405982,4.624449306424294,High
CHE,2003,2,218647829,122848769,0.5618567975811002,Switzerland,GDP (current US$),NY.GDP.MKTP.CD,362075000000,Switzerland,7378643,3612820,3765823,0.44,0.12000000000000001,184.5,8778,1.36,9.7,80.5,3.9,8.6,3.2,49070.676003704204,29.63252579098894,6.038744155216461e-4,11.55879853935203,6.867976498435384,8.339745169501589,4.690822040916645,High
CHE,2004,6,512585049,223257046,0.43555122498315396,Switzerland,GDP (current US$),NY.GDP.MKTP.CD,403913000000,Switzerland,7415374,3631182,3784192,0.56,0.17,185.4,12902,1.4,9.9,81,3.8,8.1,3.8,54469.673410943265,69.12463875726296,0.0012690481588857007,11.606287831227448,6.870133059887681,8.709765934599897,4.736154771339767,High
